matrix_id,candidate_id,vector,support,support_size,extended_support,extended_support_size,multiplier,is_ess,reason_ess,payoff,payoff_double
26,6,"2512732925705/14240851031119,466809025645/14240851031119,1231402881280/14240851031119,0,0,2348791093597/14240851031119,1121379178665/14240851031119,2348791093597/14240851031119,0,0,1231402881280/14240851031119,466809025645/14240851031119,2512732925705/14240851031119,0,0,0,0",7399,9,7399,9,17,True,T_pd_dbl,16937576197251458/14240851031119,1189.36545
26,7,"151660205164/14847838391879,2270449141061/14847838391879,1248861733573/14847838391879,2398412840029/14847838391879,0,0,2398412840029/14847838391879,1248861733573/14847838391879,2270449141061/14847838391879,151660205164/14847838391879,0,0,0,2709070552225/14847838391879,0,0,0",9167,9,9167,9,17,True,T_pd_dbl,17659591181721954/14847838391879,1189.371188
26,8,"536323042657044088210/4995798993866671901713,406008379150251276065/9991597987733343803426,0,1830366803813915613007/9991597987733343803426,0,341894600990113146703/9991597987733343803426,1369979633228008977475/9991597987733343803426,104317752962677138701/908327089793940345766,772045912556718802095/9991597987733343803426,0,756689334167219534525/4995798993866671901713,0,0,768891310878180108450/4995798993866671901713,0,0,0",9707,9,9707,9,34,True,T_pd_dbl,11883671624815118203432657/9991597987733343803426,1189.36647
26,9,"13041888522267353185/82477009632418930347,0,0,45301184080429673111/274923365441396434490,25617317471558656178/412385048162094651735,8671311636964052464/82477009632418930347,12644665815492628027/117824299474884186210,38999123318987865519/274923365441396434490,1820566046801117303/63443853563399177190,0,49888707533886602627/274923365441396434490,0,0,2777093044798839315/54984673088279286898,0,0,0",9721,9,9721,9,34,True,T_pd_dbl,196191223225466516641063/164954019264837860694,1189.369159
26,10,"7452283862508064584395/392926933560799145500716,15642326567092289979122/98231733390199786375179,7880398086914295285722/98231733390199786375179,5247326220471504238418/32743911130066595458393,0,0,5278134976340464591826/32743911130066595458393,2780727258831836661606/32743911130066595458393,19518748089946378598615/130975644520266381833572,0,0,115970944782782632400/32743911130066595458393,0,5980132833942212214175/32743911130066595458393,0,0,0",10703,9,10703,9,34,True,T_pd_dbl,116833998220620000246942103/98231733390199786375179,1189.371237
26,11,"972268529838953339205/24769065793277410131964,84301844779081033665/728501935096394415646,0,3582613643874803946995/24769065793277410131964,0,0,988345045308385497906/6192266448319352532991,549122463362863182012/6192266448319352532991,3356177558147988279003/24769065793277410131964,0,984137244712059334537/12384532896638705065982,1312549606333128091821/24769065793277410131964,0,1140262302121166985396/6192266448319352532991,0,0,0",11723,9,11723,9,34,True,T_pd_dbl,7364841018906817392288857/6192266448319352532991,1189.36113
26,12,"54824864896891123047/467238849810787428860,27751064885217876823/233619424905393714430,10084677114782175884/116809712452696857215,5799462778090758546/116809712452696857215,39141783041467946287/233619424905393714430,0,0,39345698195939614791/233619424905393714430,17590203737506574607/467238849810787428860,0,0,17341845643558712111/233619424905393714430,0,0,42063219036264846731/233619424905393714430,0,0",18847,9,18847,9,34,True,T_pd_dbl,277859307774413872215173/233619424905393714430,1189.367313
26,13,"93196204767/1224957177980,90855575567/612478588990,15133389437/612478588990,0,111016185283/612478588990,0,15133389437/612478588990,90855575567/612478588990,93196204767/1224957177980,0,0,49072067233/306239294495,0,0,49072067233/306239294495,0,0",18903,9,18903,9,17,True,T_pd_dbl,728467044708593/612478588990,1189.375527
26,14,"1473959152389321101839/8717336087553020554154,143770131821554755524/4358668043776510277077,0,564373069577368303321/8717336087553020554154,1333487545019840265751/8717336087553020554154,174540782632807406259/8717336087553020554154,0,1568960898489530744611/8717336087553020554154,0,0,1098735935178187387075/8717336087553020554154,394707621816130282775/4358668043776510277077,0,0,713161598495297634350/4358668043776510277077,0,0",19643,9,19643,9,34,True,T_pd_dbl,10368189280484540871850553/8717336087553020554154,1189.37588
26,15,"216739827383/1623558241116,63902065811/811779120558,0,44976110041/1623558241116,69211511032/405889560279,0,0,69211511032/405889560279,44976110041/1623558241116,0,63902065811/811779120558,216739827383/1623558241116,0,0,72706503692/405889560279,0,0",19867,9,19867,9,17,True,T_pd_dbl,160918308339391/135296520093,1189.375072
